ID,Category,Question,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,Answer9,Answer10,CorrectAns1,CorrectAns2,CorrectAns3
1079,MANAGEMENT & SUPPORT PROCESS,What is the Xray Check frequency from customer requirement ?,0.2,0.5,0.7,Depending on customer,NIL,NIL,NIL,NIL,NIL,NIL,Depending on customer,NIL,NIL
1080,MANAGEMENT & SUPPORT PROCESS,Which item can be detected by  X-ray?,Belt protruding,Heavy Sidewall splice,Heavy tread splice ,Apex splice ,NIL,NIL,NIL,NIL,NIL,NIL,Belt protruding,NIL,NIL
1081,MANAGEMENT & SUPPORT PROCESS,Which system is used for OE customer complaint management?,MCAT,FFDACS,SFI,CAT,NIL,NIL,NIL,NIL,NIL,NIL,CAT,NIL,NIL
1082,MANAGEMENT & SUPPORT PROCESS,Which system is used for scrap 4 reporting?,FFDACS,SFI,MCAT,Elisa,NIL,NIL,NIL,NIL,NIL,NIL,MCAT,NIL,NIL
1083,MANAGEMENT & SUPPORT PROCESS,Which is the meaning of DOT on tire sidewall ?,Department Of Transportation ,Development Of Tire ,Deviation Of Temperature ,Development  Of Technology,NIL,NIL,NIL,NIL,NIL,NIL,Department Of Transportation ,NIL,NIL
1084,MANAGEMENT & SUPPORT PROCESS,What is the quality system used in our plant?,ISO/TS 16949     ,ISO22000,ISO13485       ,ISO14001          ,NIL,NIL,NIL,NIL,NIL,NIL,ISO/TS 16949     ,NIL,NIL
1085,MANAGEMENT & SUPPORT PROCESS,Which meeting is hold to discuss RE customer complaints?,Focus/FAM,MMM,POR,341 Meeting,NIL,NIL,NIL,NIL,NIL,NIL,Focus/FAM,NIL,NIL
1086,MANAGEMENT & SUPPORT PROCESS,What is the KPI of  OE Yield in GQSC?,Warehoused RE/ Warehouse OE ,Warehoused RE / Art  total cured ,Warehoused OE / Art total cured ,Warehoused OE / Art total warehoused ,NIL,NIL,NIL,NIL,NIL,NIL,Warehoused OE / Art total warehoused ,NIL,NIL
1087,MANAGEMENT & SUPPORT PROCESS,Which is not the step of Deming RING ?,Do ,Check,Plan ,Analysis ,NIL,NIL,NIL,NIL,NIL,NIL,Analysis ,NIL,NIL
1088,MANAGEMENT & SUPPORT PROCESS,What is LTA used for ?,Marking to fulfill OE requirement for tires assembly ,TU measurement ,Tire balance measurement ,Tire weight measurement,NIL,NIL,NIL,NIL,NIL,NIL,Marking to fulfill OE requirement for tires assembly ,NIL,NIL
1089,MANAGEMENT & SUPPORT PROCESS,What is CMS in final finish?,Continental machine system,Continental Management system ,Central Marking system.,Central Marking  standard,NIL,NIL,NIL,NIL,NIL,NIL,Central Marking system.,NIL,NIL
1090,MANAGEMENT & SUPPORT PROCESS,What is RFT?,Right Frist time yield ,Required Format,Rest of  month Yield ,Regular Fast Transform,NIL,NIL,NIL,NIL,NIL,NIL,Right Frist time yield ,NIL,NIL
1091,MANAGEMENT & SUPPORT PROCESS,Which one is not the Tire geometry measurement Item?,Sidewall indentation ,Tire circumference,Tread Radial Run out,Sidewall bulge ,NIL,NIL,NIL,NIL,NIL,NIL,Tire circumference,NIL,NIL
1092,MANAGEMENT & SUPPORT PROCESS,Which method was introduced to improve the problems solving ?,MVTS,CGRS,CBS,SPS,NIL,NIL,NIL,NIL,NIL,NIL,SPS,NIL,NIL
1093,MANAGEMENT & SUPPORT PROCESS,Which system was introduce to do the recipe management ?,SAP,MVTS,QDA,CGRS,NIL,NIL,NIL,NIL,NIL,NIL,CGRS,NIL,NIL
1094,MANAGEMENT & SUPPORT PROCESS,Which is not the 7 core QC Methods in below ?,SPC ,Pareto chart,TPM,Stratification diagram,NIL,NIL,NIL,NIL,NIL,NIL,TPM,NIL,NIL
1095,MANAGEMENT & SUPPORT PROCESS,which system in charge of sorting function in Final finish ?,FFDACS,MCAT,CMS,SAP,NIL,NIL,NIL,NIL,NIL,NIL,MCAT,NIL,NIL
1096,MANAGEMENT & SUPPORT PROCESS,What is a Quality Management Review?,Meeting to discuss HR issues,Meeting with customers,Workshop to identify Q-topic,Meeting with Management to review all ISO requirements,NIL,NIL,NIL,NIL,NIL,NIL,Meeting with Management to review all ISO requirements,NIL,NIL
1097,MANAGEMENT & SUPPORT PROCESS,Quality Targets must be known by…..,Department leader,Executives,QM people,All employees,NIL,NIL,NIL,NIL,NIL,NIL,All employees,NIL,NIL
1098,MANAGEMENT & SUPPORT PROCESS,What means QM?,Quality Management,Quality Master,Quality Method,Quality Manual,NIL,NIL,NIL,NIL,NIL,NIL,Quality Management,NIL,NIL
1099,MANAGEMENT & SUPPORT PROCESS,What means QA?,Quality Assurance,Quality Actual,Quality Announcement,Quality Area,NIL,NIL,NIL,NIL,NIL,NIL,Quality Assurance,NIL,NIL
1100,MANAGEMENT & SUPPORT PROCESS,What does “NCC” stand for?,Non collectable costs,Non controllable costs,Non conformance costs,Non customer costs,NIL,NIL,NIL,NIL,NIL,NIL,Non conformance costs,NIL,NIL
1101,MANAGEMENT & SUPPORT PROCESS,Which general cost categories are defined by the NCC procedure?,Fix costs,Variable costs of non conformance,Fix & variable costs of non conformance,Project sunk costs,NIL,NIL,NIL,NIL,NIL,NIL,Variable costs of non conformance,NIL,NIL
1102,MANAGEMENT & SUPPORT PROCESS,Which costs are not part of the NCC definition?,Scrap,Rework,Customer warranties,Costs for warranty insurance,NIL,NIL,NIL,NIL,NIL,NIL,Costs for warranty insurance,NIL,NIL
1103,MANAGEMENT & SUPPORT PROCESS,Which cost category is not defined via the NCC procedure?,NCC4,NCC3,NCC2,NCC1,NIL,NIL,NIL,NIL,NIL,NIL,NCC4,NIL,NIL
1104,MANAGEMENT & SUPPORT PROCESS,Where can you find non conformance costs?,Forest,Landscape,Field,Meadow,NIL,NIL,NIL,NIL,NIL,NIL,Field,NIL,NIL
1105,MANAGEMENT & SUPPORT PROCESS,Who cannot generate non conformance costs?,Customer,Butcher,Supplier,Manufacturer,NIL,NIL,NIL,NIL,NIL,NIL,Butcher,NIL,NIL
1106,MANAGEMENT & SUPPORT PROCESS,At which gate can you detect non conformance costs?,Gateway,Gate away,Gate 40,Gate 90,NIL,NIL,NIL,NIL,NIL,NIL,Gate 90,NIL,NIL
1107,MANAGEMENT & SUPPORT PROCESS,What can you do to learn more about NCC?,NCC Training,NCC Eating,NCC Feeding,NCC Chewing,NIL,NIL,NIL,NIL,NIL,NIL,NCC Training,NIL,NIL
1108,MANAGEMENT & SUPPORT PROCESS,How do you measure NCC?,In gallons,In euros,In miles,In kilometers,NIL,NIL,NIL,NIL,NIL,NIL,In euros,NIL,NIL
1109,MANAGEMENT & SUPPORT PROCESS,Who is a relative of NCC?,SNCC,MTV,QRC,CNN,NIL,NIL,NIL,NIL,NIL,NIL,SNCC,NIL,NIL
1110,MANAGEMENT & SUPPORT PROCESS,Non conformance costs can be...?,Ignored,Falsified,Engaged,Reimbursed,NIL,NIL,NIL,NIL,NIL,NIL,Reimbursed,NIL,NIL
1111,MANAGEMENT & SUPPORT PROCESS,"What is the correct definition: ""NCC are costs … standard which occur by insufficient product quality after SOP""?",Below,Among,Between,Above,NIL,NIL,NIL,NIL,NIL,NIL,Above,NIL,NIL
1112,MANAGEMENT & SUPPORT PROCESS,What is the trigger of non conformance costs?,Quality incident,Quality prominent,Quality coincident,Quality sediment,NIL,NIL,NIL,NIL,NIL,NIL,Quality incident,NIL,NIL
1113,MANAGEMENT & SUPPORT PROCESS,NCC should be avoided...?,Because nobody cares,By doing better and living quality first ,By trading with indulgent customers only,By firing employees ,NIL,NIL,NIL,NIL,NIL,NIL,By doing better and living quality first ,NIL,NIL
1114,MANAGEMENT & SUPPORT PROCESS,Who is responsible for the target setting of the NCC?,Plant,BU,DIV,No one,NIL,NIL,NIL,NIL,NIL,NIL,BU,NIL,NIL
1115,MANAGEMENT & SUPPORT PROCESS,Non conformance costs are divided into … ,5 categories,Pieces,3 degrees,20 classes,NIL,NIL,NIL,NIL,NIL,NIL,5 categories,NIL,NIL
1116,MANAGEMENT & SUPPORT PROCESS,What should you set up to cover your NCC2?,Warranty accruals,Warranty virtuals,Warranty annuals,Warranty visuals,NIL,NIL,NIL,NIL,NIL,NIL,Warranty accruals,NIL,NIL
1117,MANAGEMENT & SUPPORT PROCESS,Non conformance costs are related to...?,My neighbor,Insufficient quality,The weather ,The oil price,NIL,NIL,NIL,NIL,NIL,NIL,Insufficient quality,NIL,NIL
1118,MANAGEMENT & SUPPORT PROCESS,Non conformance costs are officially reported…,Daily,Monthly,Yearly,Weekly,NIL,NIL,NIL,NIL,NIL,NIL,Monthly,NIL,NIL
1119,MANAGEMENT & SUPPORT PROCESS,In the Controllers´ Letter are reported only…,NCC 1,WRS,NCC 2,"NCC1 and the sum of NCC1, NCC2, NCC3",NIL,NIL,NIL,NIL,NIL,NIL,"NCC1 and the sum of NCC1, NCC2, NCC3",NIL,NIL
1120,MANAGEMENT & SUPPORT PROCESS,Which item is covered in a customer warranty agreement?,Continental's sales volume,Continental's quality performance,Continental's guarantee,Continental's warranty share,NIL,NIL,NIL,NIL,NIL,NIL,Continental's warranty share,NIL,NIL
1121,MANAGEMENT & SUPPORT PROCESS,Which condition might be  restriction in a general customer warranty agreement?,Year of production,Min. time in service,Max. time in service,Amount of accidents with fatal consequences,NIL,NIL,NIL,NIL,NIL,NIL,Max. time in service,NIL,NIL
1122,MANAGEMENT & SUPPORT PROCESS,Which condition might be  restriction in a general customer warranty agreement?,Year of production,Min. time in service,Product assembly specification,Min. year of production,NIL,NIL,NIL,NIL,NIL,NIL,Min. year of production,NIL,NIL
1123,MANAGEMENT & SUPPORT PROCESS,What is the name of Continental's database of customer warranty agreements?,CuWaAg,LeO2,CWA,Warranty DB,NIL,NIL,NIL,NIL,NIL,NIL,LeO2,NIL,NIL
1124,MANAGEMENT & SUPPORT PROCESS,Which products are covered by a general customer warranty agreement?,All delivered products of Continental,Only tested products for customers,All prototypes and serial production products,All delivered serial production products,NIL,NIL,NIL,NIL,NIL,NIL,All delivered serial production products,NIL,NIL
1125,MANAGEMENT & SUPPORT PROCESS,What is the name of the European association of automotive industry suppliers?,EAIS,CLEPA,VDA,EAI,NIL,NIL,NIL,NIL,NIL,NIL,CLEPA,NIL,NIL
1126,MANAGEMENT & SUPPORT PROCESS,What does VDA stand for?,Verband der deutschen Automobilindustrie,Vorstand der Automobilindustrie,Verband der Automobilindustrie,Verein der deutschen Automobilindustrie,NIL,NIL,NIL,NIL,NIL,NIL,Verband der Automobilindustrie,NIL,NIL
1127,MANAGEMENT & SUPPORT PROCESS,Who represents Continental in VDA?,CEO,CFO,CIO,COO,NIL,NIL,NIL,NIL,NIL,NIL,CEO,NIL,NIL
1128,MANAGEMENT & SUPPORT PROCESS,Which automotive suppliers have to follow guidelines of VDA?,All automotive suppliers,"Only the largest ones like Continental, Bosch, etc.",Only suppliers which are members of VDA,All automotive Tier 1 suppliers,NIL,NIL,NIL,NIL,NIL,NIL,All automotive suppliers,NIL,NIL
1129,MANAGEMENT & SUPPORT PROCESS,Which department report quality data centrally for Continental?,Controlling of Automotive quality,Controlling & Reporting of Automotive industry,Controlling & Reporting of Corp. Q&E,Controlling of Corporate Environment,NIL,NIL,NIL,NIL,NIL,NIL,Controlling & Reporting of Corp. Q&E,NIL,NIL
1130,MANAGEMENT & SUPPORT PROCESS,What is the abbreviation of Corporate Quality & Environment?,CoQuEn,CQE,Q&E,CDF CQE,NIL,NIL,NIL,NIL,NIL,NIL,CQE,NIL,NIL
1131,MANAGEMENT & SUPPORT PROCESS,Which central department supports the negotiation of technical factors of Continental's automotive customer products?,KAM,MAN,PUR,QKAM,NIL,NIL,NIL,NIL,NIL,NIL,QKAM,NIL,NIL
1132,MANAGEMENT & SUPPORT PROCESS,Down to which level of detail customer warranty costs have to be posted?,Part number and according profit center,Legal entity and location,Profit center and legal entity,BU and location,NIL,NIL,NIL,NIL,NIL,NIL,Part number and according profit center,NIL,NIL
1133,MANAGEMENT & SUPPORT PROCESS,Which SAP module enables global customer warranty management after implementation of SPIRIT?,SAP IO,SAP PS,SAP SD,SAP WTY,NIL,NIL,NIL,NIL,NIL,NIL,SAP WTY,NIL,NIL
1134,MANAGEMENT & SUPPORT PROCESS,Which SAP module enables global supplier charge back after implementation of SPIRIT?,SAP IO,SAP PS,SAP SD,SAP WTY,NIL,NIL,NIL,NIL,NIL,NIL,SAP WTY,NIL,NIL
1135,MANAGEMENT & SUPPORT PROCESS,Which information is the most important for break down of customer quality complaints to Continental organizational structure?,Automotive business data,Customer master data,Material master data,Quality performance data,NIL,NIL,NIL,NIL,NIL,NIL,Material master data,NIL,NIL
1136,MANAGEMENT & SUPPORT PROCESS,What is the naming of the process to deduct customer payments to Continental?,Automotive payment deduction,Credit memo procedure,Payment deduction process,Self authorization in automotive industry,NIL,NIL,NIL,NIL,NIL,NIL,Credit memo procedure,NIL,NIL
1137,MANAGEMENT & SUPPORT PROCESS,Which department is responsible for energy management on divisional level?,Corporate Accounting,Corporate Controlling,Corporate Environment,Corporate Manufacturing,NIL,NIL,NIL,NIL,NIL,NIL,Corporate Environment,NIL,NIL
1138,MANAGEMENT & SUPPORT PROCESS,To which kind of costs lead posted customer quality complaints?,Costs,Expenditures,Expenses,Profit,NIL,NIL,NIL,NIL,NIL,NIL,Expenditures,NIL,NIL
1139,MANAGEMENT & SUPPORT PROCESS,How many people are working for the function Corporate Quality & Environment in 2016 without Quality Labs? (Headcount),300 HC,500 HC,900 HC,1.200 HC,NIL,NIL,NIL,NIL,NIL,NIL,900 HC,NIL,NIL
1140,MANAGEMENT & SUPPORT PROCESS,Which employees are responsible for Quality within Continental?,All without restriction,All in Quality departments,All in departments Development and Quality,All in departments Production and Quality,NIL,NIL,NIL,NIL,NIL,NIL,All without restriction,NIL,NIL
1141,MANAGEMENT & SUPPORT PROCESS,In how many countries the function Corporate Quality & Environment is located at the customer site and/or at the supplier basis?,21,25,29,34,NIL,NIL,NIL,NIL,NIL,NIL,29,NIL,NIL
1142,MANAGEMENT & SUPPORT PROCESS,Where can you find Quality Reports?,Report Selector,Report Creator,Report Developer,Report Extractor,NIL,NIL,NIL,NIL,NIL,NIL,Report Selector,NIL,NIL
1143,MANAGEMENT & SUPPORT PROCESS,How do you know about  the availability of a report?,Check the daily newspaper,Check the menu,Check the Calendar of Events,Check the stars,NIL,NIL,NIL,NIL,NIL,NIL,Check the Calendar of Events,NIL,NIL
1144,MANAGEMENT & SUPPORT PROCESS,What does KPI stand for?,Key Pieces of Information,Key Performance Indicator,Key Private Infrastructure,Kernel Programming Interface,NIL,NIL,NIL,NIL,NIL,NIL,Key Performance Indicator,NIL,NIL
1145,MANAGEMENT & SUPPORT PROCESS,What are Quality Key Performance Indicators?,"JPG, GIF, BMP","QCF, QCL, QCR","PDF, PPT, EXE","PPM, NCC, Triplet Spill",NIL,NIL,NIL,NIL,NIL,NIL,"PPM, NCC, Triplet Spill",NIL,NIL
1146,MANAGEMENT & SUPPORT PROCESS,Which KPI is used to report quality performance?,PPA,PPG,PPM,PPQ,NIL,NIL,NIL,NIL,NIL,NIL,PPM,NIL,NIL
1147,MANAGEMENT & SUPPORT PROCESS,"What does ""PPM"" stand for?",Parts Per Minute,Pay Per Minute,Plan Per Machine,Parts Per Million,NIL,NIL,NIL,NIL,NIL,NIL,Parts Per Million,NIL,NIL
1148,MANAGEMENT & SUPPORT PROCESS,"For which area ""PPM"" is not calculated?",0km,Field,Supplier,Intercompany,NIL,NIL,NIL,NIL,NIL,NIL,Field,NIL,NIL
1149,MANAGEMENT & SUPPORT PROCESS,Which parts are not considered for ppm calculation?,Rejected,Accepted,Under investigation,Ppm relevant,NIL,NIL,NIL,NIL,NIL,NIL,Rejected,NIL,NIL
1150,MANAGEMENT & SUPPORT PROCESS,Who is defining if a part is 0km ppm relevant?,Plant,Customer,BU,CEP,NIL,NIL,NIL,NIL,NIL,NIL,Customer,NIL,NIL
1151,MANAGEMENT & SUPPORT PROCESS,Who is defining 0km ppm targets?,Plant,Customer,BU,CEP,NIL,NIL,NIL,NIL,NIL,NIL,BU,NIL,NIL
1152,MANAGEMENT & SUPPORT PROCESS,What is a Quality Spill?,Incident in escalation,Oil slick,Fall from a bicycle,Interjection,NIL,NIL,NIL,NIL,NIL,NIL,Incident in escalation,NIL,NIL
1153,MANAGEMENT & SUPPORT PROCESS,Which drilldown level is used to report Spills?,Singles,Doubles,Triplets,Quadruplets,NIL,NIL,NIL,NIL,NIL,NIL,Triplets,NIL,NIL
1154,MANAGEMENT & SUPPORT PROCESS,What does Triplet stand for?,Identical siblings,"Combination of Plant, Customer and Product",Woolly aliens,Specific material combination,NIL,NIL,NIL,NIL,NIL,NIL,"Combination of Plant, Customer and Product",NIL,NIL
1155,MANAGEMENT & SUPPORT PROCESS,Which analytic method supports prediction?,Crystal ball reading,Throwing dice,Weibull,Placing cards,NIL,NIL,NIL,NIL,NIL,NIL,Weibull,NIL,NIL
1156,MANAGEMENT & SUPPORT PROCESS,What does A3 represents?,Paper size,Car model,Fastest way from Frankfurt to Regensburg,Structured problem solving,NIL,NIL,NIL,NIL,NIL,NIL,Structured problem solving,NIL,NIL
1157,MANAGEMENT & SUPPORT PROCESS,What is a root cause analysis?,1 Who,3 Where,5 Why,7 What,NIL,NIL,NIL,NIL,NIL,NIL,5 Why,NIL,NIL
1158,MANAGEMENT & SUPPORT PROCESS,What does IPTV stand for?,Incident Per Thousand Vehicles,Internet Protocol Television,Incident Per Ten Vehicles,Iowa Public Television,NIL,NIL,NIL,NIL,NIL,NIL,Incident Per Thousand Vehicles,NIL,NIL
1159,MANAGEMENT & SUPPORT PROCESS,What is the twin of IPTV?,CPU,PPM,NCC,R/1000,NIL,NIL,NIL,NIL,NIL,NIL,R/1000,NIL,NIL
1160,MANAGEMENT & SUPPORT PROCESS,What does NTF stand for?,Need To Forecast,No Trouble Found,National Test Facility,No Trouble Forecasted,NIL,NIL,NIL,NIL,NIL,NIL,No Trouble Found,NIL,NIL
1161,MANAGEMENT & SUPPORT PROCESS,What does YTD in reports stand for?,Yesterday,Year To Download,Year To Date,Yesterdays Top Downloads,NIL,NIL,NIL,NIL,NIL,NIL,Year To Date,NIL,NIL
1162,MANAGEMENT & SUPPORT PROCESS,What does PV stand for?,Product Validation,Photovoltaic,Product Variance,Problem Validation,NIL,NIL,NIL,NIL,NIL,NIL,Product Validation,NIL,NIL
1163,MANAGEMENT & SUPPORT PROCESS,What does DV stand for?,Double Validation,Data Visualization ,Delta View,Design Validation,NIL,NIL,NIL,NIL,NIL,NIL,Design Validation,NIL,NIL
1164,MANAGEMENT & SUPPORT PROCESS,Reliability Test`s which are provided by the Q-Lab`s include… ,Vibration and Temperature tests,Emission tests,Visual tests,Smell test,NIL,NIL,NIL,NIL,NIL,NIL,Vibration and Temperature tests,NIL,NIL
1165,MANAGEMENT & SUPPORT PROCESS,EMC Tests which are provided by the Q-Lab`s include the two main topics. ,Vibration and Temperature,Emission & Immunity,Visual & Sound ,Haptic & taste,NIL,NIL,NIL,NIL,NIL,NIL,Emission & Immunity,NIL,NIL
1166,MANAGEMENT & SUPPORT PROCESS,What is the size of the Quality Labs in 2016? (Headcount),8,80,Ca. 800,8,NIL,NIL,NIL,NIL,NIL,NIL,Ca. 800,NIL,NIL
1167,MANAGEMENT & SUPPORT PROCESS,On which two continents are no Q-Lab`s located?,America & Australia,Africa & Asia,Europe & Asia,Australia & Africa,NIL,NIL,NIL,NIL,NIL,NIL,Australia & Africa,NIL,NIL
1168,MANAGEMENT & SUPPORT PROCESS,Which equipment has quantity wise the biggest volume inside the Q-Lab Organization?    ,Coffee machine,Computer tomography,Climatic chamber,Water boiler,NIL,NIL,NIL,NIL,NIL,NIL,Climatic chamber,NIL,NIL
1169,MANAGEMENT & SUPPORT PROCESS,What is a service you could get from the Q-Lab Organization?,Validation Engineering,Production of  Prototypes,Maintenance for production line,Car wash,NIL,NIL,NIL,NIL,NIL,NIL,Validation Engineering,NIL,NIL
1170,MANAGEMENT & SUPPORT PROCESS,What does MIS stand for ? ,More Innovation Support,My Information Services,Mirrors in Spot ,Month in Service,NIL,NIL,NIL,NIL,NIL,NIL,Month in Service,NIL,NIL
1171,MANAGEMENT & SUPPORT PROCESS,What does TIS stand for ?,Technical Information System,Time in Service,Tracking Investigating Stop ,Tire Information System,NIL,NIL,NIL,NIL,NIL,NIL,Time in Service,NIL,NIL
1172,MANAGEMENT & SUPPORT PROCESS,Who is in central Quality responsible for Customer Complaint Management in Continental Automotive? ,Plant,BU,QKAM,SQM,NIL,NIL,NIL,NIL,NIL,NIL,QKAM,NIL,NIL
1173,MANAGEMENT & SUPPORT PROCESS,What does TSB stand for ?,Technical Service Bulletin,Turn Side Back,Team Service Board,Travel Service Bulletin,NIL,NIL,NIL,NIL,NIL,NIL,Technical Service Bulletin,NIL,NIL
1174,MANAGEMENT & SUPPORT PROCESS,What does QKAM stand for?,Quality Key and Measurement,Quotation Key Account Manager,Quality Key Account Management,Quick Keyless Automotive Management,NIL,NIL,NIL,NIL,NIL,NIL,Quality Key Account Management,NIL,NIL
1175,MANAGEMENT & SUPPORT PROCESS,What does VIN stand for ?,Very Important Notification,Variable Information ,Venturi In Nomine,Vehicle Identification Number,NIL,NIL,NIL,NIL,NIL,NIL,Vehicle Identification Number,NIL,NIL
1176,MANAGEMENT & SUPPORT PROCESS,Where is the Headquarter of Ford Motor Company ?,Berlin,St Petersburg,Valencia,Detroit,NIL,NIL,NIL,NIL,NIL,NIL,Detroit,NIL,NIL
1177,MANAGEMENT & SUPPORT PROCESS,What are the job roles of QKAM ,"CSE, WM, CQM, QKAM","QMP,QMPP, CQM","WM, EM, SGE","BU, Plant, Region",NIL,NIL,NIL,NIL,NIL,NIL,"CSE, WM, CQM, QKAM",NIL,NIL
1178,MANAGEMENT & SUPPORT PROCESS,What does a technical factor describe ?,Technical Acceptance Rate for warranty recovery,Feasibility study ,Percentage of technical equipment,Availability of mobile phones ,NIL,NIL,NIL,NIL,NIL,NIL,Technical Acceptance Rate for warranty recovery,NIL,NIL
1179,MANAGEMENT & SUPPORT PROCESS,What does CSE Stand for ,Creative Special Engineer,Customer Service Engineer,Central Sales Expert,Communication Speed Enhancer,NIL,NIL,NIL,NIL,NIL,NIL,Customer Service Engineer,NIL,NIL
1180,MANAGEMENT & SUPPORT PROCESS,What does CQM stand for ,Central Quarter Month,Chief Quick Modifier,Customer Quality Manager,Career Quality Master,NIL,NIL,NIL,NIL,NIL,NIL,Customer Quality Manager,NIL,NIL
1181,MANAGEMENT & SUPPORT PROCESS,How does Conti internally track it's Quality rejects,Excel,CQTS,Paper,Word,NIL,NIL,NIL,NIL,NIL,NIL,CQTS,NIL,NIL
1182,MANAGEMENT & SUPPORT PROCESS,What does CQTS stand for ?,Corporate Quick Time Service,Continental Quality Tracking System,Commercial Quality Tracking System,Continental Quench Transport System,NIL,NIL,NIL,NIL,NIL,NIL,Continental Quality Tracking System,NIL,NIL
1183,MANAGEMENT & SUPPORT PROCESS,Which customer is not from Japan ?,Toyota,Hyundai,Honda,Mazda,NIL,NIL,NIL,NIL,NIL,NIL,Hyundai,NIL,NIL
1184,MANAGEMENT & SUPPORT PROCESS,Who is the owner of Volvo ?,Swedish Government,Ford Motor Company,Mazda,Geely,NIL,NIL,NIL,NIL,NIL,NIL,Geely,NIL,NIL
1185,MANAGEMENT & SUPPORT PROCESS,Who is the owner of Jaguar Landrover ?,Tata,Ford Motor Company,British Leyland,Aston Martin,NIL,NIL,NIL,NIL,NIL,NIL,Tata,NIL,NIL
1186,MANAGEMENT & SUPPORT PROCESS,What does the term Labor cost describe ?,Salary of Government,Cost of CEO,Repair cost per hour ,Parking cost ,NIL,NIL,NIL,NIL,NIL,NIL,Repair cost per hour ,NIL,NIL
1187,MANAGEMENT & SUPPORT PROCESS,Where does QKAM belong to ?,BU,Plant,Division,Central Quality Automotive,NIL,NIL,NIL,NIL,NIL,NIL,Central Quality Automotive,NIL,NIL
1188,MANAGEMENT & SUPPORT PROCESS,What is documented under the QN Type Disruption?,Parking lot availability ,Server down time ,"Sorting, Rework, Reflash",WLAN Availability ,NIL,NIL,NIL,NIL,NIL,NIL,"Sorting, Rework, Reflash",NIL,NIL
1189,MANAGEMENT & SUPPORT PROCESS,What is not part of the special customer escalation documentation,Line Stop,Stop Shipment,Field Service Action,Piece Price Cost Increase,NIL,NIL,NIL,NIL,NIL,NIL,Piece Price Cost Increase,NIL,NIL
1190,MANAGEMENT & SUPPORT PROCESS,What is not a QN Type in CQTS,First Pass Yield (FPY),Field,0-Mileage,Disruption,NIL,NIL,NIL,NIL,NIL,NIL,First Pass Yield (FPY),NIL,NIL
1191,MANAGEMENT & SUPPORT PROCESS,What do we track under 0 Mileage QN's,Piece Price Cost Increase,Complaint parts from customer Production,First Pass Yield,Odometer Failure,NIL,NIL,NIL,NIL,NIL,NIL,Complaint parts from customer Production,NIL,NIL
1192,MANAGEMENT & SUPPORT PROCESS,"How many parts per day do we have to sort, rework or reflash at the customer locations to ensure the right level of Quality?  ",350000,250,5500,15000,NIL,NIL,NIL,NIL,NIL,NIL,15000,NIL,NIL
1193,MANAGEMENT & SUPPORT PROCESS,How many customer complaints do we have to manage per year for the Automotive Group ?,17000,310000,520000,4500,NIL,NIL,NIL,NIL,NIL,NIL,310000,NIL,NIL
1194,MANAGEMENT & SUPPORT PROCESS,Which of the following tasks is not managed by QKAM ?,Complaint Management,General Customer Quality Requirements,New Business Quotation ,Dispute Management,NIL,NIL,NIL,NIL,NIL,NIL,New Business Quotation ,NIL,NIL
1195,MANAGEMENT & SUPPORT PROCESS,What is a Commercial Dispute ,Long Discussion ,Payment default on delivery of goods ,Piece Price Discussion ,Conflict with colleague,NIL,NIL,NIL,NIL,NIL,NIL,Payment default on delivery of goods ,NIL,NIL
1196,MANAGEMENT & SUPPORT PROCESS,What is the reason coding for a Quality Dispute ,M5,B52,T6,F250,NIL,NIL,NIL,NIL,NIL,NIL,T6,NIL,NIL
1197,MANAGEMENT & SUPPORT PROCESS,Which of the following customers is not a USA one ,Ford,GM,Fiat Chrysler,Volvo,NIL,NIL,NIL,NIL,NIL,NIL,Volvo,NIL,NIL
1198,MANAGEMENT & SUPPORT PROCESS,Which of the following customers is not a Chinese one,Geely,Great Wall Motor,Honda,SAIC Motor,NIL,NIL,NIL,NIL,NIL,NIL,Honda,NIL,NIL
1199,MANAGEMENT & SUPPORT PROCESS,How long is usually the warranty period in Europe,12 Months,24 Months,36 Months,48 Months,NIL,NIL,NIL,NIL,NIL,NIL,24 Months,NIL,NIL
1200,MANAGEMENT & SUPPORT PROCESS,What is managed in the SPIRIT Project ,Employee Motivation ,New Technologies ,SAP Harmonization,Continental Values,NIL,NIL,NIL,NIL,NIL,NIL,SAP Harmonization,NIL,NIL
1201,SUPPLIER MANAGEMENT,What does “OEE” stand for?,Order electronical enquiry,Output efficiency estimation,Overall equipment effectiveness,Old English etiquette,NIL,NIL,NIL,NIL,NIL,NIL,Overall equipment effectiveness,NIL,NIL
1202,SUPPLIER MANAGEMENT,"These are part of the 5 basic performance objectives for all types of operation, except from",Quality,Speed,Productivity,Reliability,NIL,NIL,NIL,NIL,NIL,NIL,Productivity,NIL,NIL
1203,SUPPLIER MANAGEMENT,"These are part of the 5 basic performance objectives for all types of operation, except from",Flexibility,Quality,Cost,Inventory,NIL,NIL,NIL,NIL,NIL,NIL,Inventory,NIL,NIL
1204,SUPPLIER MANAGEMENT,"These are part of the 5 basic performance objectives for all types of operation, except from",Speed,Stock,Flexibility,Cost,NIL,NIL,NIL,NIL,NIL,NIL,---,NIL,NIL
1205,SUPPLIER MANAGEMENT,What does “QR” in “QR-Code” stand for?,Quick response,Quality report,Question response,Quantitative result,NIL,NIL,NIL,NIL,NIL,NIL,Quick response,NIL,NIL
